STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Arunachal Pradesh,Siang Upper,2000,2,1,0,3,2,5,1,1,2,1,2,0,7,7,1,9,2,1,0,0,1,2,1,1,2,1,1,1,25,42,14.0
Madhya Pradesh,Chhindwara,2000,77,51,0,92,2,95,18,15,4,2,1,20,166,238,65,171,26,18,68,1,28,1086,8,204,33,108,2,96,1335,3673,47.08974358974359
Jammu & Kashmir,Border,2000,6,42,1,14,1,11,10,11,0,1,2,1,25,17,4,16,13,6,18,1,1,12,1,14,3,1,2,41,482,710,101.42857142857143
Uttar Pradesh,Chandoli,2000,34,30,11,5,2,3,20,9,11,1,2,17,52,82,11,72,17,21,48,4,11,110,18,14,0,20,1,15,242,765,21.857142857142858
Maharashtra,Kolhapur,2000,65,43,5,16,2,15,13,9,8,18,1,15,220,471,160,308,140,46,68,1,17,549,20,47,8,70,2,284,870,2992,45.333333333333336
Uttarakhand,Bageshwar,2000,10,8,2,1,1,1,3,6,2,1,1,4,1,13,2,11,0,2,6,1,0,13,10,1,1,1,1,1,47,114,10.363636363636363
Maharashtra,Beed,2000,69,44,0,23,2,24,23,17,8,17,0,63,262,501,72,428,274,16,41,2,36,1011,0,78,14,176,0,175,821,3643,52.042857142857144
Rajasthan,G.R.P.,2000,3,2,4,3,0,0,6,4,5,1,3,13,8,585,18,565,14,3,7,3,0,7,2,12,1,1,2,2,283,963,240.75
Bihar,Katihar,2000,65,23,6,78,0,77,89,67,16,27,6,30,65,158,20,136,237,6,50,2,2,70,5,6,0,32,1,42,1175,2171,32.89393939393939
Uttar Pradesh,Mahoba,2000,56,37,4,13,2,14,12,8,7,1,2,21,39,62,9,52,23,1,20,1,7,57,10,21,1,4,0,25,307,729,12.789473684210526
Madhya Pradesh,Narsinghpur,2000,36,48,0,69,0,69,6,3,1,2,1,11,121,149,26,122,32,2,9,0,23,833,23,158,17,39,0,50,680,2309,62.4054054054054
Tripura,North,2000,40,9,0,28,2,27,21,10,6,3,1,20,43,48,2,49,27,3,4,3,4,60,1,15,0,60,2,14,161,566,13.804878048780488
Meghalaya,Garo Hills South,2000,6,1,0,3,2,2,3,2,2,4,0,3,4,8,2,7,2,2,1,1,2,3,0,0,1,2,1,1,18,50,7.142857142857143
Maharashtra,Mumbai,2000,250,135,8,126,1,126,118,63,58,33,59,291,2599,10165,3099,7067,142,341,1154,78,7,3542,19,252,40,212,1,754,5951,26278,104.69322709163346
Assam,Sonitpur,2000,108,23,0,69,2,68,114,111,5,23,1,34,167,330,7,322,155,48,45,0,21,279,11,51,2,144,2,178,466,2269,20.81651376146789
Punjab,Ludhiana,2000,66,77,14,41,1,41,127,90,36,1,17,14,344,719,369,349,2,57,404,3,18,330,15,88,129,144,1,188,2851,5648,84.29850746268657
Mizoram,Champhai,2000,6,0,2,11,1,10,0,2,0,1,2,1,45,46,4,41,1,0,4,2,4,17,2,9,0,2,0,0,68,210,30.0
Madhya Pradesh,Neemuch,2000,19,17,2,36,0,36,17,5,9,3,0,13,201,375,51,326,67,24,30,1,17,389,2,82,17,60,1,51,771,2210,110.5
Madhya Pradesh,Rewa,2000,66,38,1,30,2,30,37,17,19,7,4,89,761,438,155,282,88,3,16,3,26,537,26,96,2,54,2,135,2106,4569,68.19402985074628
Uttar Pradesh,Ballia,2000,55,90,15,16,0,18,22,17,9,9,3,15,123,180,15,161,120,12,13,5,3,287,20,9,22,36,1,8,872,1933,34.517857142857146
Karnataka,Belgaum,2000,114,61,0,6,2,8,25,14,12,11,0,46,204,271,107,166,371,17,138,12,19,804,9,55,2,102,2,20,2444,4724,41.07826086956522
Gujarat,Narmada,2000,17,5,0,7,0,6,11,6,3,3,2,1,14,48,8,39,9,3,16,0,13,94,2,9,0,9,1,42,246,538,29.88888888888889
Madhya Pradesh,Shajapur,2000,41,47,3,90,0,91,11,7,3,0,5,49,274,587,93,492,90,11,26,0,35,746,6,154,37,63,2,58,1329,3664,87.23809523809524
Bihar,Lakhisarai,2000,63,46,4,9,1,11,32,8,22,8,2,14,24,80,1,78,94,5,4,0,3,7,7,11,2,4,1,35,304,756,11.8125
Chhattisgarh,Mahasamund,2000,20,19,7,41,2,45,8,6,2,4,1,5,106,145,21,127,28,10,25,1,8,174,5,69,4,22,1,61,416,1183,56.333333333333336
Uttar Pradesh,Sidharthnagar,2000,11,18,8,10,1,14,24,26,2,4,0,9,84,81,10,73,25,21,32,5,9,131,13,22,2,26,2,8,286,836,69.66666666666667
Rajasthan,Banswara,2000,41,25,4,88,1,90,62,59,3,6,0,22,97,119,15,104,426,6,55,2,51,1454,8,111,2,151,0,56,727,3510,83.57142857142857
D & N Haveli,Total,2000,3,3,1,4,0,5,4,0,4,1,2,1,32,44,14,32,2,15,11,2,2,27,1,6,1,6,1,2,181,348,87.0
Assam,Kokrajhar,2000,89,26,1,16,2,15,39,11,31,14,1,11,41,91,2,88,50,1,10,4,6,158,1,38,2,19,2,52,119,776,8.622222222222222
Bihar,Kishanganj,2000,26,17,3,23,2,24,22,17,6,21,0,12,36,57,8,48,114,14,7,1,6,4,4,3,2,38,1,14,483,897,33.22222222222222
Madhya Pradesh,Bhopal Rly.,2000,6,1,2,0,2,0,1,4,1,2,0,25,11,706,14,692,2,2,8,0,1,3,1,9,5,2,1,3,255,1036,148.0
Rajasthan,Dholpur,2000,42,76,0,26,1,23,44,32,10,2,6,28,78,239,23,220,550,14,62,0,19,1112,21,36,2,92,2,56,589,3094,71.95348837209302
Maharashtra,Bhandara,2000,37,11,3,32,1,34,16,15,0,1,1,14,228,338,35,305,68,14,26,0,43,405,4,59,39,72,2,111,742,2259,59.44736842105263
Maharashtra,Raigad,2000,42,23,2,29,1,30,14,11,3,25,1,39,171,280,47,228,145,21,54,0,16,275,13,38,12,56,0,281,620,2148,49.95348837209303
Odisha,Mayurbhanj,2000,85,40,0,66,2,67,28,26,4,5,0,34,112,157,15,141,41,12,30,1,16,20,27,125,1,105,2,107,1008,2027,23.569767441860463
Uttar Pradesh,Fatehpur,2000,91,45,30,11,2,14,27,19,10,3,0,17,62,101,21,80,13,24,44,0,5,207,28,18,13,43,1,136,723,1636,17.782608695652176
Uttarakhand,Chamoli,2000,16,9,3,3,1,4,6,7,1,0,1,6,25,16,3,16,20,0,1,1,4,14,5,10,9,2,1,22,50,229,13.470588235294118
Chhattisgarh,Dhamtari,2000,14,7,1,23,1,24,6,4,2,4,1,2,125,109,11,100,24,5,13,2,3,127,2,42,4,6,2,47,451,997,66.46666666666667
Chhattisgarh,Jagdalpur,2000,81,34,3,61,2,57,4,2,4,3,2,21,146,170,18,153,34,10,9,0,12,214,4,49,4,12,0,1,930,1810,22.073170731707318
Assam,Sibsagar,2000,73,20,2,59,1,58,58,56,0,9,0,23,52,328,49,280,48,27,25,2,24,559,6,27,0,69,1,41,431,1883,25.445945945945947
Tamil Nadu,Kanyakumari,2000,34,63,1,5,0,6,12,11,6,1,2,2,228,260,49,208,10,11,15,8,20,1127,4,25,171,31,2,2,1704,3733,106.65714285714286
Uttar Pradesh,Ghazipur,2000,46,60,24,7,0,6,28,19,7,4,1,15,90,107,11,95,72,13,34,4,7,212,20,16,29,54,1,26,442,1308,27.829787234042552
Arunachal Pradesh,Changlang,2000,11,3,2,1,2,3,5,3,2,2,1,4,16,25,1,25,2,6,9,2,2,26,1,0,2,0,0,2,65,180,15.0
Haryana,Gurgaon,2000,65,48,17,25,1,25,51,37,16,11,11,45,300,774,438,333,72,40,42,3,22,280,13,35,55,126,1,9,1579,3621,54.86363636363637
Jharkhand,Ranchi,2000,270,163,1,56,2,55,67,24,43,83,11,183,221,731,159,569,264,62,53,2,9,2,7,72,2,62,1,5,1993,4306,15.88929889298893
Haryana,Bhiwani,2000,38,21,7,8,2,11,7,7,3,1,8,17,132,189,118,72,108,27,53,3,15,268,32,17,0,44,2,1,847,1853,47.51282051282051
Karnataka,Kolar,2000,71,71,2,18,1,16,22,20,2,4,0,23,155,282,65,222,371,9,48,2,1,664,18,43,1,37,0,0,1385,3228,44.833333333333336
Karnataka,Dakshin Kannada,2000,28,29,0,10,2,11,5,1,4,5,1,10,172,209,104,106,141,12,49,10,17,501,2,22,7,26,0,2,2178,3427,118.17241379310344
Gujarat,Patan,2000,23,12,1,3,1,3,29,27,3,7,1,24,87,217,38,175,96,24,43,2,24,409,1,27,0,89,2,91,1184,2391,99.625
Nagaland,Zunheboto,2000,5,0,2,2,0,1,2,1,2,1,0,1,11,11,1,10,1,2,2,2,1,2,2,2,1,1,0,2,19,52,8.666666666666666
Assam,Total,2000,1251,480,53,968,1,969,1594,1278,321,471,17,608,2505,5553,494,5058,3016,558,718,58,440,4765,71,985,5,1693,0,1959,8575,36348,29.031948881789138
Haryana,Sonipat,2000,73,48,5,16,1,16,24,13,14,7,7,30,132,348,166,181,5,8,42,1,10,344,18,22,13,49,0,131,605,1946,26.2972972972973
Odisha,Berhampur,2000,25,51,2,10,2,10,13,9,4,5,4,55,113,143,45,100,40,11,20,1,14,234,4,39,8,27,1,33,417,1268,48.76923076923077
Assam,G.R.P.,2000,8,2,2,2,1,2,2,2,2,0,1,7,1,62,1,62,1,1,2,2,1,0,2,0,0,2,2,1,35,118,13.11111111111111
Gujarat,W.Rly,2000,13,10,2,1,2,2,2,2,2,5,1,86,30,900,2,901,9,8,8,2,2,55,1,8,0,6,1,7,269,1420,101.42857142857143
Uttar Pradesh,Hamirpur,2000,60,32,15,7,1,7,17,7,14,2,2,24,35,68,9,61,15,12,17,0,1,52,16,34,6,28,2,53,364,861,14.114754098360656
Gujarat,Ahwa-Dang,2000,8,2,0,1,2,3,2,3,0,1,2,1,4,10,0,7,10,3,6,2,3,31,1,0,1,4,0,16,53,145,16.11111111111111
Mizoram,Saiha,2000,0,2,2,4,2,4,1,1,1,2,1,2,30,0,1,2,0,0,7,1,1,8,0,8,0,2,0,2,125,182,182.0
Haryana,Kaithal,2000,33,15,9,16,0,15,7,9,1,1,4,9,101,142,68,80,1,60,15,1,28,216,8,20,2,107,0,1,397,1195,35.14705882352941
Andhra Pradesh,Nizamabad,2000,108,51,16,20,2,23,37,22,16,7,1,21,159,232,46,185,50,61,122,1,32,1381,18,55,15,229,0,221,787,3620,33.211009174311926
Tamil Nadu,Madurai Rural,2000,64,53,2,12,1,13,28,22,5,13,1,42,136,352,87,265,284,25,60,5,32,2072,6,54,8,68,2,264,1304,4876,75.01538461538462
Maharashtra,Akola,2000,63,42,2,15,0,15,15,14,2,8,2,42,297,736,81,656,100,13,60,16,46,838,0,111,9,190,0,114,1304,4022,62.84375
Madhya Pradesh,Balaghat,2000,57,41,7,87,1,86,12,13,1,2,3,9,230,225,19,206,43,9,11,1,18,567,3,157,14,72,1,51,1309,2926,50.44827586206897
Uttar Pradesh,Balrampur,2000,25,28,10,6,2,6,22,20,2,1,2,6,40,80,8,70,27,20,21,2,14,128,13,24,11,31,1,34,199,735,28.26923076923077
Gujarat,Valsad,2000,39,13,2,2,2,5,23,17,3,16,0,18,258,398,128,270,51,50,29,0,14,278,2,11,1,34,1,1,1510,2745,68.625
Gujarat,Mehsana,2000,47,43,2,12,0,14,41,38,5,51,3,50,247,613,123,488,192,37,60,1,89,1143,0,41,4,170,2,156,2122,5122,106.70833333333333
Uttar Pradesh,Azamgarh,2000,118,104,20,12,1,12,45,41,3,9,2,79,144,187,33,156,125,46,70,4,2,350,33,13,16,80,1,23,763,2245,18.865546218487395
Rajasthan,Kota,2000,58,309,0,49,2,48,144,117,32,0,3,87,457,1213,443,769,231,41,307,2,41,1177,15,204,4,321,2,119,2593,7381,125.10169491525424
Maharashtra,Sangli,2000,86,23,3,34,1,34,18,9,9,6,5,26,225,514,99,418,127,30,54,1,45,567,11,53,21,95,0,265,786,2997,34.44827586206897
Maharashtra,Amravati Commr.,2000,28,24,1,20,1,18,10,10,3,4,2,44,273,793,127,665,48,18,52,2,16,477,3,37,34,69,1,64,653,2664,91.86206896551724
Madhya Pradesh,Khandwa,2000,41,48,1,62,1,63,14,10,1,6,3,11,312,292,42,244,62,10,45,1,10,85,10,183,16,50,0,56,2601,3911,93.11904761904762
Rajasthan,G.R.P.,2000,1,2,3,2,2,1,8,6,5,2,3,14,10,582,15,565,14,6,7,5,4,7,1,12,1,2,2,1,287,964,482.0
Madhya Pradesh,Jabalpur Rly.,2000,3,2,1,1,1,1,2,2,2,1,2,16,1,223,6,214,1,1,0,1,0,15,1,6,1,0,1,0,95,361,90.25
Arunachal Pradesh,Siang West,2000,6,9,2,4,1,5,5,4,1,0,1,6,37,48,2,44,2,2,2,1,5,56,1,19,2,4,1,2,117,332,47.42857142857143
Uttar Pradesh,Lucknow,2000,168,187,27,62,1,62,175,136,37,26,0,124,668,2204,696,1507,349,268,427,4,10,91,49,103,146,336,2,335,3445,9207,54.4792899408284
Haryana,Panipat,2000,48,23,3,43,0,41,30,19,7,4,11,29,173,448,218,232,36,35,28,3,4,180,8,20,19,195,2,187,566,2095,42.755102040816325
Odisha,Malkangir,2000,36,27,1,12,1,13,4,5,0,11,2,6,25,42,5,34,22,4,4,1,7,71,1,29,2,14,2,12,163,497,13.432432432432432
Tamil Nadu,Thiruvarur,2000,32,30,3,2,1,4,13,4,9,0,2,5,75,171,46,126,63,4,14,1,19,813,5,52,14,0,1,61,1149,2532,76.72727272727273
Uttar Pradesh,Total,2000,6823,6282,1243,1415,2,1415,3428,2300,1134,554,60,2840,6124,22420,6351,16064,4877,2737,5026,128,641,13945,1892,2145,1887,5679,2,7313,48568,146039,21.400791324736225
Uttarakhand,Uttarkashi,2000,9,11,0,6,0,8,4,1,1,1,1,6,16,44,2,44,33,11,5,2,5,11,0,11,3,13,0,1,130,314,31.4
Maharashtra,Bhandara,2000,33,22,1,40,2,39,5,2,4,0,0,14,193,403,29,374,62,11,17,2,57,393,6,70,38,60,1,90,732,2254,66.29411764705883
Manipur,Ukhrul,2000,3,2,2,1,1,1,0,0,1,1,1,1,1,5,2,4,1,0,0,2,1,4,1,1,0,2,2,1,20,39,9.75
Rajasthan,Bundi,2000,22,95,10,36,2,37,107,83,28,3,2,24,215,387,72,319,137,9,108,2,33,980,8,149,2,223,0,99,1249,3901,169.6086956521739
Rajasthan,Dungarpur,2000,24,14,2,23,0,19,42,38,5,1,1,15,90,80,21,60,203,12,27,1,40,140,4,57,1,40,1,80,1036,1935,77.4
Arunachal Pradesh,Lohit,2000,15,0,2,5,0,3,3,5,4,6,2,3,10,23,2,25,1,0,0,1,3,51,1,7,0,2,2,1,34,171,10.6875
Haryana,Jind,2000,38,21,7,23,1,19,13,10,3,2,30,30,149,149,64,80,73,67,52,1,4,162,9,21,27,68,2,2,512,1450,37.17948717948718
Gujarat,Surat Rural,2000,61,10,0,25,1,28,22,15,9,10,4,27,100,220,66,153,29,38,32,1,8,317,2,11,0,33,1,317,499,1766,28.483870967741936
Uttar Pradesh,Hathras,2000,85,95,13,15,1,14,48,27,22,24,0,66,89,227,18,210,151,49,79,5,10,213,32,61,27,91,2,77,757,2215,25.75581395348837
Assam,Bongaigaon,2000,45,23,0,21,2,20,37,19,17,12,0,26,86,92,2,91,86,2,14,1,13,67,1,24,1,28,2,50,189,812,17.652173913043477
Jharkhand,Chatra,2000,42,8,2,4,1,4,12,4,7,25,0,15,32,81,10,72,89,1,13,1,0,1,8,0,2,5,1,1,416,746,17.348837209302324
Jharkhand,Dhanbad,2000,95,31,5,32,2,30,55,45,11,58,6,47,205,545,41,504,205,12,79,0,12,317,32,48,0,20,1,15,1098,2918,30.395833333333332
Gujarat,Bhavnagar,2000,58,42,1,7,0,8,53,38,11,10,2,44,278,502,200,299,404,134,68,5,76,137,4,56,5,127,2,9,3122,5145,87.20338983050847
Madhya Pradesh,Mandsaur,2000,36,39,2,43,0,46,16,11,7,2,3,12,183,407,101,306,66,24,26,5,20,339,8,128,17,48,1,73,1316,2813,76.02702702702703
Jharkhand,Total,2000,1506,864,141,566,2,568,440,279,163,635,50,645,1264,3828,753,3074,2020,281,554,22,166,2254,218,295,3,485,4,418,8775,25445,16.88453881884539
Chhattisgarh,Raigarh,2000,48,22,2,51,1,54,4,5,2,1,5,11,212,171,27,148,35,39,19,1,3,278,3,102,6,24,1,39,573,1650,33.673469387755105
Uttar Pradesh,Fatehgarh,2000,94,63,14,11,2,9,37,27,11,2,1,14,30,74,27,49,55,29,47,2,1,170,31,2,1,2,1,17,716,1412,14.863157894736842
Punjab,Kapurthala,2000,18,26,0,10,2,6,15,7,6,4,1,7,55,63,23,41,1,3,140,4,4,87,2,20,2,34,1,61,202,755,39.73684210526316
Gujarat,Bharuch,2000,39,13,1,4,2,2,41,33,5,11,0,16,152,388,94,294,42,71,71,0,20,386,1,18,1,57,0,178,1540,3050,76.25
Bihar,Saharsa,2000,37,153,2,13,2,14,28,8,16,1,1,16,22,54,5,48,158,24,23,2,6,228,5,7,2,14,2,27,246,1068,28.105263157894736
Rajasthan,Dungarpur,2000,29,8,1,15,1,16,53,49,6,2,2,7,80,76,30,48,209,18,38,2,24,338,5,57,1,58,1,78,897,1999,66.63333333333334
Gujarat,Patan,2000,25,18,2,5,1,5,20,21,2,6,2,20,78,218,25,194,78,52,30,2,12,421,0,24,0,76,2,82,1285,2445,94.03846153846153
Tamil Nadu,Trichy Rural,2000,44,48,2,7,1,3,12,15,0,0,0,0,42,159,56,102,67,1,12,3,11,916,9,14,7,1,1,291,1670,3319,73.75555555555556
Uttar Pradesh,Azamgarh,2000,113,91,23,7,1,5,42,5,34,2,4,90,121,160,23,135,112,48,64,4,6,310,21,27,21,71,2,2,535,1877,16.464912280701753
Jammu & Kashmir,Anantnag,2000,87,95,3,14,2,18,65,60,9,5,1,24,141,93,17,76,50,10,20,1,45,51,2,68,55,2,0,25,499,1357,15.420454545454545
Gujarat,Rajkot Rural,2000,29,38,4,18,0,18,42,35,6,9,2,22,197,380,66,313,57,171,45,2,19,615,2,45,2,208,2,199,2298,4400,146.66666666666666
Maharashtra,Nagpur Rly.,2000,11,1,1,3,2,1,0,2,1,4,2,18,4,762,9,755,20,4,5,12,0,28,2,2,1,2,2,4,171,1054,87.83333333333333
Uttarakhand,Total,2000,292,249,49,90,1,89,196,154,45,31,4,175,556,1363,375,993,341,144,311,10,40,762,67,146,95,318,2,441,2295,7977,27.225255972696246
Madhya Pradesh,Morena,2000,61,97,4,35,1,35,36,19,15,17,1,76,382,564,90,476,199,3,14,1,17,928,27,79,3,34,1,111,2541,5231,84.37096774193549
Chhattisgarh,Balrampur,2000,31,19,1,30,1,29,3,4,1,37,2,16,60,45,3,42,23,4,1,2,7,55,1,32,3,21,2,10,215,619,19.34375
Uttar Pradesh,Mau,2000,48,47,8,14,0,16,28,25,5,8,1,27,66,75,9,64,88,15,32,1,9,120,5,31,24,41,1,73,369,1117,22.79591836734694
Maharashtra,Pune Rly.,2000,5,1,3,2,2,0,1,0,0,1,2,6,0,304,2,302,4,1,5,2,2,9,0,5,1,1,2,1,51,386,64.33333333333333
Karnataka,Tumkur,2000,79,53,2,7,1,7,20,6,17,11,1,25,239,387,92,296,236,14,24,2,68,1099,28,55,2,44,1,2,1738,4141,51.7625
Madhya Pradesh,Sagar,2000,82,122,1,143,0,143,28,16,14,4,1,55,475,496,24,477,151,9,58,0,51,2669,29,511,2,143,2,107,2552,7682,92.55421686746988
West Bengal,Birbhum,2000,74,39,25,45,2,42,42,30,14,9,28,31,18,351,45,308,281,22,4,0,9,62,5,45,2,153,1,172,807,2213,29.506666666666668
Tamil Nadu,Trichy Rural,2000,52,40,2,4,1,7,19,16,2,1,1,0,51,215,91,122,56,3,16,4,5,1040,2,22,4,1,1,280,1292,3102,58.528301886792455
Gujarat,Surat Rural,2000,80,8,0,9,2,12,19,14,4,7,0,18,86,209,73,139,24,30,25,2,10,325,1,16,1,42,1,311,831,2058,25.40740740740741
West Bengal,Birbhum,2000,59,22,25,38,1,35,26,20,5,4,30,9,6,195,36,163,152,9,4,0,14,87,0,51,1,175,2,184,924,2009,33.483333333333334
Meghalaya,Khasi Hills West,2000,18,4,1,3,1,3,0,0,2,20,1,16,2,23,1,21,1,0,3,1,1,4,1,2,1,2,1,0,39,123,6.473684210526316
Maharashtra,Sangli,2000,99,29,2,33,1,33,23,12,9,12,5,22,227,446,106,340,107,23,92,1,27,410,3,37,6,63,1,288,735,2690,26.9
Andhra Pradesh,Visakha Rural,2000,55,25,0,12,0,13,6,2,5,4,1,3,97,197,0,196,37,23,40,1,21,719,0,65,43,87,1,238,1002,2670,47.67857142857143
Bihar,Sheikhpura,2000,30,0,1,2,1,4,17,1,16,16,2,10,13,88,1,89,135,6,10,0,2,8,10,2,0,34,1,14,408,803,25.903225806451612
Sikkim,North,2000,0,1,2,2,1,0,1,2,0,0,1,2,6,2,1,2,0,2,7,2,0,5,1,0,0,0,2,1,20,48,48.0
Himachal Pradesh,Kinnaur,2000,1,0,2,4,2,3,5,4,1,0,2,1,17,13,1,11,12,0,0,1,2,17,0,5,1,9,2,24,50,156,78.0
Meghalaya,Jaintia Hills,2000,34,3,1,9,1,9,4,3,3,17,1,9,6,29,2,32,3,1,3,1,3,22,0,4,1,2,0,1,70,216,6.171428571428572
Uttar Pradesh,Jhansi,2000,63,30,33,13,2,13,29,11,16,1,1,26,42,192,77,116,30,22,48,1,2,179,15,19,3,40,2,4,627,1418,22.15625
Punjab,Faridkot,2000,14,5,3,4,1,5,9,5,4,4,3,3,31,54,13,41,1,8,44,2,7,132,6,11,2,21,0,1,105,463,30.866666666666667
Arunachal Pradesh,Total,2000,61,39,5,36,2,39,59,36,21,24,1,98,251,393,49,343,22,24,29,3,19,401,2,68,4,12,0,1,683,2226,35.903225806451616
Andhra Pradesh,Nalgonda,2000,109,54,9,41,2,39,48,37,8,6,0,20,165,319,46,277,85,26,184,6,80,1140,39,230,65,212,1,489,1966,5289,48.08181818181818
Sikkim,West,2000,2,0,1,3,2,4,2,1,0,2,1,2,7,4,0,7,1,2,6,0,2,6,2,3,0,2,2,1,23,68,22.666666666666668
Uttar Pradesh,Badaun,2000,237,271,30,48,2,48,83,39,43,27,2,69,120,307,14,291,63,41,65,2,37,614,61,53,15,74,1,5,847,3062,12.865546218487395
Uttarakhand,Dehradun,2000,39,36,13,11,0,11,63,49,13,4,5,21,141,295,112,184,72,33,122,3,2,76,7,12,28,79,0,151,568,1775,44.375
Andhra Pradesh,Khammam,2000,104,53,2,48,1,48,70,57,15,6,2,10,166,433,78,352,107,77,218,0,53,2203,14,190,377,322,2,274,919,5648,53.79047619047619
Meghalaya,Ri-Bhoi,2000,25,3,2,5,1,5,4,5,0,14,1,16,2,38,10,29,2,1,3,1,4,13,2,1,1,1,1,1,62,183,7.038461538461538
Odisha,Kandhamal,2000,24,9,2,32,1,33,27,23,1,2,0,19,73,117,3,114,43,10,7,0,16,367,3,95,14,30,0,3,106,998,39.92
Bihar,Banka,2000,98,18,1,26,0,28,34,9,24,37,1,35,55,92,4,88,254,5,2,0,0,5,8,4,2,13,0,1,799,1494,15.090909090909092
Andhra Pradesh,Adilabad,2000,100,62,17,49,1,48,45,30,17,8,1,43,199,200,22,178,79,18,106,0,29,1133,18,151,34,176,2,182,1518,4152,41.10891089108911
Haryana,Fatehabad,2000,17,25,2,16,1,15,22,11,8,5,6,10,97,143,61,81,12,1,50,0,4,210,16,15,1,95,2,2,467,1215,67.5
Bihar,Vaishali,2000,110,148,15,19,1,22,89,28,60,22,5,41,226,264,22,240,296,83,122,3,6,435,60,51,0,177,2,51,1858,4076,36.72072072072072
Assam,Dhubri,2000,59,14,1,45,1,48,60,51,13,43,2,22,76,86,1,86,419,55,21,4,22,256,2,68,2,169,1,157,127,1720,28.666666666666668
Assam,C.I.D.,2000,2,2,2,1,2,1,2,1,1,0,1,0,2,0,0,1,1,1,4,0,0,2,1,1,1,2,1,2,2,9,3.0
Bihar,Rohtas,2000,127,112,2,24,1,27,70,19,53,76,5,70,142,317,50,266,391,38,50,0,26,472,35,21,2,57,2,374,535,2961,23.1328125
West Bengal,Howrah,2000,18,1,11,4,1,5,7,4,2,9,16,6,4,118,36,84,62,9,64,1,8,114,8,11,1,65,1,118,700,1360,71.57894736842105
Andhra Pradesh,Adilabad,2000,98,78,16,38,2,39,42,34,11,5,1,42,194,226,33,193,82,27,133,1,37,1182,21,174,64,238,1,225,1753,4674,47.21212121212121
Punjab,Mansa,2000,26,25,1,8,2,11,6,3,1,1,1,1,40,38,15,28,2,14,37,2,1,157,1,7,2,12,1,1,150,534,19.77777777777778
Rajasthan,Tonk,2000,18,34,0,16,2,19,67,52,20,3,1,19,144,296,75,227,175,17,119,1,30,1522,9,86,4,141,2,88,1122,3912,205.89473684210526
Assam,Lakhimpur,2000,26,34,1,67,1,68,82,74,8,0,1,46,94,283,0,285,57,18,84,2,45,479,1,62,0,177,2,73,291,1927,71.37037037037037
Uttar Pradesh,Mathura,2000,124,141,12,18,2,17,51,34,16,9,2,61,76,378,172,202,112,60,119,3,4,125,30,38,43,95,2,215,901,2608,20.864
Uttarakhand,Total,2000,292,250,45,91,1,91,197,153,45,34,6,178,552,1364,374,990,340,145,313,8,39,758,67,146,98,316,0,439,2297,7978,27.22866894197952
Jammu & Kashmir,Ramban,2000,61,69,1,7,0,6,8,8,0,0,2,2,25,29,1,29,8,5,1,0,23,7,1,3,1,0,2,3,319,565,9.112903225806452
Chhattisgarh,Durg,2000,74,67,2,133,2,134,28,21,6,4,1,51,567,789,208,583,60,8,75,6,26,516,11,231,33,115,0,1,3333,6121,81.61333333333333
Madhya Pradesh,Balaghat,2000,69,42,5,87,1,87,9,9,2,2,1,24,242,238,43,192,29,4,10,2,21,391,4,188,15,78,1,50,1496,3007,42.957142857142856
Rajasthan,G.R.P.,2000,6,0,2,6,1,6,2,2,1,3,0,8,3,532,16,520,5,2,4,2,2,6,4,19,1,1,0,1,246,852,121.71428571428571
Uttar Pradesh,Kanpur Dehat,2000,84,68,11,20,1,22,52,35,14,14,1,29,50,141,7,130,71,20,42,2,13,312,40,43,7,81,1,101,382,1580,18.58823529411765
Andhra Pradesh,Nellore,2000,87,67,3,45,1,46,89,82,8,11,4,14,244,610,71,534,98,18,177,4,66,1121,9,205,229,286,1,266,1585,5244,59.59090909090909
Maharashtra,Aurangabad Commr.,2000,34,18,1,6,1,6,18,13,10,8,3,60,246,536,198,338,122,12,95,2,12,410,6,30,13,111,0,106,591,2440,69.71428571428571
Rajasthan,Baran,2000,36,96,2,83,2,82,95,92,3,1,0,31,204,366,41,324,168,17,101,1,45,289,1,217,7,125,0,52,2400,4334,117.13513513513513
Delhi Ut,Central,2000,27,43,3,28,2,29,64,41,18,1,2,41,148,1594,559,1036,10,55,134,5,0,114,2,31,9,0,2,12,1424,3752,134.0
